path,depth,parent_path,category,product_count,terminal_product_count
"Clothing, Shoes & Jewelry",1,,"Clothing, Shoes & Jewelry",49990,0
"Shoe, Jewelry & Watch Accessories",1,,"Shoe, Jewelry & Watch Accessories",10,0
"Clothing, Shoes & Jewelry > $50 and Under Backpacks",2,"Clothing, Shoes & Jewelry",$50 and Under Backpacks,1,1
"Clothing, Shoes & Jewelry > 100% Plus & Featured Brands",2,"Clothing, Shoes & Jewelry",100% Plus & Featured Brands,1,1
"Clothing, Shoes & Jewelry > 100% Plus (No Title Match)",2,"Clothing, Shoes & Jewelry",100% Plus (No Title Match),6,6
"Clothing, Shoes & Jewelry > 20% Off $100 Women's & Men's",2,"Clothing, Shoes & Jewelry",20% Off $100 Women's & Men's,1,1
"Clothing, Shoes & Jewelry > 20% Off $80 Women's Shoes & Handbags",2,"Clothing, Shoes & Jewelry",20% Off $80 Women's Shoes & Handbags,1,1
"Clothing, Shoes & Jewelry > 20% Off President's Day Savings | Kids & Baby",2,"Clothing, Shoes & Jewelry",20% Off President's Day Savings | Kids & Baby,1,1
"Clothing, Shoes & Jewelry > 20% Off Prime Members Exclusive | Kids",2,"Clothing, Shoes & Jewelry",20% Off Prime Members Exclusive | Kids,1,1
"Clothing, Shoes & Jewelry > 20% Off Prime Members Exclusive | Men",2,"Clothing, Shoes & Jewelry",20% Off Prime Members Exclusive | Men,2,2
"Clothing, Shoes & Jewelry > 25% Off Harley Davidson Footwear",2,"Clothing, Shoes & Jewelry",25% Off Harley Davidson Footwear,1,1
"Clothing, Shoes & Jewelry > 4+ Stars: Clothes, Shoes and Jewelry",2,"Clothing, Shoes & Jewelry","4+ Stars: Clothes, Shoes and Jewelry",1,1
"Clothing, Shoes & Jewelry > 4th of July Up to 60% Off",2,"Clothing, Shoes & Jewelry",4th of July Up to 60% Off,3,3
"Clothing, Shoes & Jewelry > Adult Apparel",2,"Clothing, Shoes & Jewelry",Adult Apparel,1,1
"Clothing, Shoes & Jewelry > Amazon Fashion 3",2,"Clothing, Shoes & Jewelry",Amazon Fashion 3,9,9
"Clothing, Shoes & Jewelry > Amazon Fashion Sales & Deals",2,"Clothing, Shoes & Jewelry",Amazon Fashion Sales & Deals,2,2
"Clothing, Shoes & Jewelry > Amazon Private and Exclusive Brands",2,"Clothing, Shoes & Jewelry",Amazon Private and Exclusive Brands,1,1
"Clothing, Shoes & Jewelry > Apparel and accessories Made in Italy",2,"Clothing, Shoes & Jewelry",Apparel and accessories Made in Italy,3,1
"Clothing, Shoes & Jewelry > Associates top products",2,"Clothing, Shoes & Jewelry",Associates top products,1,1
"Clothing, Shoes & Jewelry > BIBA End of Season Sale",2,"Clothing, Shoes & Jewelry",BIBA End of Season Sale,1,1
"Clothing, Shoes & Jewelry > Baby",2,"Clothing, Shoes & Jewelry",Baby,1031,6
"Clothing, Shoes & Jewelry > Baby Girls' Clothes Under $10",2,"Clothing, Shoes & Jewelry",Baby Girls' Clothes Under $10,1,1
"Clothing, Shoes & Jewelry > Baby Girls' Outerwear",2,"Clothing, Shoes & Jewelry",Baby Girls' Outerwear,1,1
"Clothing, Shoes & Jewelry > Backpacks Under $25",2,"Clothing, Shoes & Jewelry",Backpacks Under $25,1,1
"Clothing, Shoes & Jewelry > Backpacks Under $50",2,"Clothing, Shoes & Jewelry",Backpacks Under $50,1,1
"Clothing, Shoes & Jewelry > Big Kid Size 7",2,"Clothing, Shoes & Jewelry",Big Kid Size 7,2,2
"Clothing, Shoes & Jewelry > Big Kid Size 8",2,"Clothing, Shoes & Jewelry",Big Kid Size 8,1,1
"Clothing, Shoes & Jewelry > Birthstone Jewelry Gifts",2,"Clothing, Shoes & Jewelry",Birthstone Jewelry Gifts,1,1
"Clothing, Shoes & Jewelry > Boot Shop",2,"Clothing, Shoes & Jewelry",Boot Shop,1131,3
"Clothing, Shoes & Jewelry > Boys",2,"Clothing, Shoes & Jewelry",Boys,1101,23
"Clothing, Shoes & Jewelry > Boys' Character Shop",2,"Clothing, Shoes & Jewelry",Boys' Character Shop,1,1
"Clothing, Shoes & Jewelry > Build Your Wardrobe: Cardigans for Her",2,"Clothing, Shoes & Jewelry",Build Your Wardrobe: Cardigans for Her,1,1
"Clothing, Shoes & Jewelry > Bulk Buying & Case Packs",2,"Clothing, Shoes & Jewelry",Bulk Buying & Case Packs,1,1
"Clothing, Shoes & Jewelry > Business Pricing & Quantity Discounts",2,"Clothing, Shoes & Jewelry",Business Pricing & Quantity Discounts,11,11
"Clothing, Shoes & Jewelry > California Costumes",2,"Clothing, Shoes & Jewelry",California Costumes,2,2
"Clothing, Shoes & Jewelry > Casual Dresses Under $50",2,"Clothing, Shoes & Jewelry",Casual Dresses Under $50,2,2
"Clothing, Shoes & Jewelry > Cat T-Shirts",2,"Clothing, Shoes & Jewelry",Cat T-Shirts,1,1
"Clothing, Shoes & Jewelry > Clearance",2,"Clothing, Shoes & Jewelry",Clearance,11,11
"Clothing, Shoes & Jewelry > Clothing Coinstar Exclusive",2,"Clothing, Shoes & Jewelry",Clothing Coinstar Exclusive,1,1
"Clothing, Shoes & Jewelry > Clothing Outlet",2,"Clothing, Shoes & Jewelry",Clothing Outlet,4,2
"Clothing, Shoes & Jewelry > Clothing Outlet for Rank",2,"Clothing, Shoes & Jewelry",Clothing Outlet for Rank,1,1
"Clothing, Shoes & Jewelry > Coats & Jackets under $75",2,"Clothing, Shoes & Jewelry",Coats & Jackets under $75,1,1
"Clothing, Shoes & Jewelry > Costumes & Accessories",2,"Clothing, Shoes & Jewelry",Costumes & Accessories,937,6
"Clothing, Shoes & Jewelry > Curated Brands: Plus Size",2,"Clothing, Shoes & Jewelry",Curated Brands: Plus Size,1,1
"Clothing, Shoes & Jewelry > Customers' Most-Loved: Sweaters Under $30 pASIN Test",2,"Clothing, Shoes & Jewelry",Customers' Most-Loved: Sweaters Under $30 pASIN Test,24,24
"Clothing, Shoes & Jewelry > Deal of the Day: Up to 40% Off Men's PUMA Sneakers",2,"Clothing, Shoes & Jewelry",Deal of the Day: Up to 40% Off Men's PUMA Sneakers,1,1
"Clothing, Shoes & Jewelry > Designer Shoes & Handbags",2,"Clothing, Shoes & Jewelry",Designer Shoes & Handbags,5,5
"Clothing, Shoes & Jewelry > Diamond Jewelry Store",2,"Clothing, Shoes & Jewelry",Diamond Jewelry Store,1,0
"Clothing, Shoes & Jewelry > Diamond Jewelry starting $49",2,"Clothing, Shoes & Jewelry",Diamond Jewelry starting $49,1,1
"Clothing, Shoes & Jewelry > Diamonds",2,"Clothing, Shoes & Jewelry",Diamonds,3,3
"Clothing, Shoes & Jewelry > Dresses Under $50",2,"Clothing, Shoes & Jewelry",Dresses Under $50,4,4
"Clothing, Shoes & Jewelry > Dresses- Checks",2,"Clothing, Shoes & Jewelry",Dresses- Checks,1,1
"Clothing, Shoes & Jewelry > Editor's Picks: Women's New Arrivals",2,"Clothing, Shoes & Jewelry",Editor's Picks: Women's New Arrivals,1,1
