fixture_id,user_id,session_id,included,qualification_reason,hard_conditions,price_max,catalogue_count,eligible_catalogue_count,full_actual_k,filtered_actual_k,filtered_expected_max_k,original_top_k_hard_incompatible_count,original_top_k_hard_incompatible_percent,top_k_overlap_count,top_k_overlap_percent,q_m0_key,q_m0_float32_sha256,memory_count,ordered_memory_ids_sha256,ordered_memory_embedding_keys_sha256,scientific_execution
u1_stable_s5_final,u1_stable,u1_stable_s5,True,eligible: deterministic current M0 price_max changes the catalogue universe,{'price_max': 120.0},120.0,50000,9794,500,,500,466,93.2,,,query:u1_stable_s5_final,b90d6a9a5b3cc33b02739062b8ec1fa75a848d82b08a11a79272b61f0c63a881,6,59b0608d5105a8bb2b79a3fe63285dcab70c7837a6038ec6cc3fb05e9d4944e8,7b3fe5a5ae24cb62d3900aceed586f0b850e6d3da578a83f2a321492d95b5409,False
u1_stable_s6_final,u1_stable,u1_stable_s6,True,eligible: deterministic current M0 price_max changes the catalogue universe,{'price_max': 120.0},120.0,50000,9794,500,,500,454,90.8,,,query:u1_stable_s6_final,b1d3d772e92587fafd8cea8a9ea6c65c81b014cf62a75b985e05543b04e6399d,6,4b74df5c4896b382e6ca08e0824af82a4bf83ad02653a2c6413a3c069d692b14,db66fd4549aef410200f0a3edfbfd1d817bad95fdfb0b9378124eb2dba278c70,False
u1_stable_s8_final,u1_stable,u1_stable_s8,False,identity: frozen current M0 state has no genuine hard condition,{},9999.0,50000,50000,500,,500,0,0.0,,,query:u1_stable_s8_final,24babbb5dd4c57ec45997b4fe96ea807bc6e691a3e9598c40010d72b2dd8488b,6,684a8f0a453dd140499d931a88e4d9116cb6bee9ea82929992a8c9dcdec1ad84,6a261181386569a01fabf580c1bf630a6ab851afe7a2a110ec4ebf89de87b083,False
u1_stable_s9_final,u1_stable,u1_stable_s9,False,identity: frozen current M0 state has no genuine hard condition,{},9999.0,50000,50000,500,,500,0,0.0,,,query:u1_stable_s9_final,f6a75aae0d25874982feb583b603fdca238e39f33e7d9323835d94cca4a6f90c,6,3c65fb0ee37f3ce635c09f60d889b9b969c483f79c6feda8e5e2cdc76c934c4d,bfcaee489894e3383c0b41986b4269ebf9140c8382d15e42af90d4029a0d8417,False
u2_override_s2_final,u2_override,u2_override_s2,False,identity: frozen current M0 state has no genuine hard condition,{},9999.0,50000,50000,500,,500,0,0.0,,,query:u2_override_s2_final,df35cdf981108e51616fd435dea7337807f5e83c076ee104d0480bd3be6c05a0,5,304688b32d0445f7952bd6b204616caa7eb2274c7d83b0d11ed51b73ce67c9de,7a41fccb811e0e7373d491bd8e5eccbcd80acd5c3793a30418f6676467c2ce60,False
u2_override_s4_final,u2_override,u2_override_s4,True,eligible: deterministic current M0 price_max changes the catalogue universe,{'price_max': 120.0},120.0,50000,9794,500,,500,463,92.6,,,query:u2_override_s4_final,97aff3f7e3757314af6cbf66dd83593ebc9147bc7715b26066d967f3478d89c2,5,e8334355220be1939870607abeeb3d6195fe9b0812be8e8fea7552190bddfa19,cac0363780d41bffe4d485892d631124ca2ae6661b85a9f43f0ad3eb77e984ff,False
u2_override_s7_final,u2_override,u2_override_s7,True,eligible: deterministic current M0 price_max changes the catalogue universe,{'price_max': 120.0},120.0,50000,9794,500,,500,408,81.6,,,query:u2_override_s7_final,5cacf7c84d9c6ba6b7d91c88d424abcf6dc773e8643b5e24afb9cdc817c2e283,6,948c74550fa7d4fc30d6b0f4b2d344ee2182422f55ba82681b13d956b242c616,b848f3d128c2a498a3a620e2543936a5ce3896a4972f55bb70e1f0fae5af1300,False
u2_override_s9_final,u2_override,u2_override_s9,True,eligible: deterministic current M0 price_max changes the catalogue universe,{'price_max': 120.0},120.0,50000,9794,500,,500,427,85.4,,,query:u2_override_s9_final,9c415fbf8aaa8f725f73bf2a8f77c51ef48465fffe10d53cf153f4882d0b6142,7,5d92e3a8430e8ccbab331ffccfd2857039649ffff460fef154a06d4642a59bf6,3aa41de429f5a75fee9d6c43d217212173d8b5002c4cd36ff3544b62a3aa4ed5,False
u3_distractor_s3_final,u3_distractor,u3_distractor_s3,True,eligible: deterministic current M0 price_max changes the catalogue universe,{'price_max': 20.0},20.0,50000,4792,500,,500,440,88.0,,,query:u3_distractor_s3_final,5ccd8df745037b9d9c55a42c1b085cb3b2d83b166a1b33f839b684ffca45d868,6,83aa6d511cbae48f95d9af467cc3abfb9ccd51239c96eccebcace4284cfa0583,e104424831d01e55d1f8b91e4bf24daae462cf9d545c881587163c94369f8ffb,False
u3_distractor_s5_final,u3_distractor,u3_distractor_s5,True,eligible: deterministic current M0 price_max changes the catalogue universe,{'price_max': 120.0},120.0,50000,9794,500,,500,450,90.0,,,query:u3_distractor_s5_final,0db55d2f59735f02f7714b00d39d8e0ac906dca0d2fa27e38f470a028974ae4e,5,3993f681d746f2119cb10fa395a7539a1cf5032b295c4af0e8696e3d74828481,e089d8b18908925e86453c6bb7bd8e0020712ad811231092bf01dd8fc7dbb3a7,False
