fixture_id,universe,attribute,embedded_text_count,embedded_text_percent,raw_catalogue_count,raw_catalogue_percent,catalogue_only_count,distinct_embedded_forms,distinct_raw_values,note,distinct_raw_forms
u2_override_s9_final,m0_full_catalogue,price,12,2.4,74,14.799999999999999,73,"[""$"", ""cheap"", ""premium"", ""price""]",57,The structured price field is not interpolated into the embedded product template; embedded hits are only lexical proxies.,
u2_override_s9_final,m0_full_catalogue,colour,217,43.4,334,66.8,117,"[""beige"", ""black"", ""blue"", ""brown"", ""color"", ""colour"", ""gray"", ""green"", ""grey"", ""multicolor"", ""multicolour"", ""navy"", ""orange"", ""pink"", ""purple"", ""red"", ""teal"", ""white"", ""yellow""]",,,"[""beige"", ""black"", ""blue"", ""brown"", ""color"", ""colour"", ""gray"", ""green"", ""grey"", ""multicolor"", ""multicolour"", ""navy"", ""orange"", ""pink"", ""purple"", ""red"", ""teal"", ""white"", ""yellow""]"
u2_override_s9_final,m0_full_catalogue,dark_black,24,4.8,85,17.0,61,"[""black"", ""charcoal"", ""dark"", ""navy""]",,,"[""black"", ""charcoal"", ""dark"", ""navy""]"
u2_override_s9_final,m0_full_catalogue,bright_colourful,64,12.8,107,21.4,43,"[""bright"", ""colorful"", ""multicolor"", ""multicolour"", ""neon"", ""rainbow"", ""vibrant""]",,,"[""bright"", ""colorful"", ""colourful"", ""multicolor"", ""multicolour"", ""neon"", ""rainbow"", ""vibrant""]"
u2_override_s9_final,m0_full_catalogue,sporty_athletic,15,3.0,72,14.399999999999999,57,"[""athletic"", ""performance"", ""running"", ""sport"", ""workout""]",,,"[""athletic"", ""gym"", ""performance"", ""running"", ""sport"", ""sporty"", ""training"", ""workout""]"
u2_override_s9_final,m0_full_catalogue,minimal_understated,29,5.800000000000001,120,24.0,91,"[""basic"", ""classic"", ""plain"", ""simple""]",,,"[""basic"", ""classic"", ""minimalist"", ""plain"", ""simple""]"
u2_override_s9_final,diagnostic_post_hard_filter,price,10,2.0,500,100.0,490,"[""cheap"", ""luxury"", ""premium""]",232,The structured price field is not interpolated into the embedded product template; embedded hits are only lexical proxies.,
u2_override_s9_final,diagnostic_post_hard_filter,colour,136,27.200000000000003,289,57.8,153,"[""beige"", ""black"", ""blue"", ""color"", ""gray"", ""green"", ""grey"", ""multicolor"", ""navy"", ""orange"", ""pink"", ""purple"", ""red"", ""white"", ""yellow""]",,,"[""beige"", ""black"", ""blue"", ""brown"", ""color"", ""colour"", ""gray"", ""green"", ""grey"", ""multicolor"", ""navy"", ""orange"", ""pink"", ""purple"", ""red"", ""teal"", ""white"", ""yellow""]"
u2_override_s9_final,diagnostic_post_hard_filter,dark_black,17,3.4000000000000004,101,20.200000000000003,84,"[""black"", ""dark"", ""navy""]",,,"[""black"", ""charcoal"", ""dark"", ""navy""]"
u2_override_s9_final,diagnostic_post_hard_filter,bright_colourful,20,4.0,76,15.2,56,"[""bright"", ""colorful"", ""multicolor"", ""rainbow"", ""vibrant""]",,,"[""bold color"", ""bright"", ""colorful"", ""colourful"", ""multicolor"", ""neon"", ""rainbow"", ""vibrant""]"
