sample_id,scenario_type,constraint_count,exact_phrase_candidates,all_token_candidates,bm25_cutoff_candidates,dense_nn_candidates,hybrid_candidates,oracle_only
public_0001,buying,0,1218,6840,115,268,28,True
public_0001,buying,1,9,1262,153,336,34,True
public_0001,buying,2,1,13,9,6,26,True
public_0001,buying,3,1,11,4,2,22,True
public_0001,buying,4,1,6,9,2,21,True
public_0002,intent_override,0,258,2317,93,230,65,True
public_0002,intent_override,1,177,398,137,160,53,True
public_0002,intent_override,2,55,341,92,123,47,True
public_0002,intent_override,3,20,91,97,81,49,True
public_0002,intent_override,4,7,45,153,108,60,True
public_0003,intent_override,0,1034,1275,68,272,70,True
public_0003,intent_override,1,575,764,75,65,51,True
public_0003,intent_override,2,1,80,93,172,68,True
public_0003,intent_override,3,1,36,68,152,66,True
public_0003,intent_override,4,1,28,82,173,45,True
public_0004,intent_override,0,111,1622,239,140,59,True
public_0004,intent_override,1,51,830,271,124,79,True
public_0004,intent_override,2,2,502,137,106,59,True
public_0004,intent_override,3,1,52,58,96,51,True
public_0004,intent_override,4,1,37,5,201,42,True
public_0005,buying,0,232,852,125,9,56,True
public_0005,buying,1,86,224,138,51,62,True
public_0005,buying,2,66,145,152,58,57,True
public_0005,buying,3,1,49,220,66,44,True
public_0005,buying,4,1,28,147,112,47,True
public_0006,browsing,0,19,9761,85,64,64,True
public_0006,browsing,1,13,2191,105,127,53,True
public_0006,browsing,2,10,1452,114,116,48,True
public_0006,browsing,3,3,305,185,50,28,True
public_0006,browsing,4,1,139,39,164,21,True
public_0007,browsing,0,519,1792,190,487,68,True
public_0007,browsing,1,233,840,199,706,72,True
public_0007,browsing,2,1,84,186,294,53,True
public_0007,browsing,3,1,32,179,336,56,True
public_0007,browsing,4,1,21,273,412,50,True
public_0008,buying,0,231,925,59,95,66,True
public_0008,buying,1,112,221,58,127,58,True
public_0008,buying,2,3,85,70,118,49,True
public_0008,buying,3,2,36,115,84,39,True
public_0008,buying,4,1,19,105,110,33,True
public_0009,buying,0,184,612,69,83,52,True
public_0009,buying,1,109,404,152,121,49,True
public_0009,buying,2,1,189,211,179,48,True
public_0009,buying,3,1,48,210,164,49,True
public_0009,buying,4,1,47,235,239,57,True
public_0010,buying,0,1,21914,35,352,34,True
public_0010,buying,1,1,4859,59,258,53,True
public_0010,buying,2,0,589,193,568,53,True
public_0010,buying,3,0,209,206,982,60,True
public_0010,buying,4,0,31,208,1084,32,True
public_0011,browsing,0,48,423,48,36,52,True
public_0011,browsing,1,35,230,51,170,51,True
public_0011,browsing,2,26,195,58,83,60,True
public_0011,browsing,3,15,94,64,71,46,True
public_0011,browsing,4,1,14,64,70,42,True
public_0012,browsing,0,126,22445,137,218,36,True
public_0012,browsing,1,55,5492,165,293,42,True
public_0012,browsing,2,4,1627,262,602,30,True
public_0012,browsing,3,1,599,288,819,27,True
