sample_id,split,turn,locked_route,category,active_constraints,query,control_top_10,treatment_top_10,control_exact_called,control_bm25_called,treatment_exact_called,treatment_bm25_called,treatment_dense_called,oracle_joined_after_freeze,oracle_scenario_type,oracle_target_asin
public_0001,calibration,1,buying,Jewelry Necklaces,"[""Material:alloy""]",Jewelry Necklaces Material:alloy,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B075KXNBNF"", ""B0140NWUGE"", ""B017NHP88G"", ""B077J2Y5FB"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]","[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B075KXNBNF"", ""B0140NWUGE"", ""B017NHP88G"", ""B077J2Y5FB"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",True,False,True,False,False,True,buying,B09PYB7B6Z
public_0001,calibration,2,buying,Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r""]",Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B075KXNBNF"", ""B0140NWUGE"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]","[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B075KXNBNF"", ""B0140NWUGE"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",True,False,True,False,False,True,buying,B09PYB7B6Z
public_0001,calibration,3,buying,Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r"", ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""]","Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th","[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]","[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",True,False,True,False,False,True,buying,B09PYB7B6Z
public_0001,calibration,4,buying,Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r"", ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""]","Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th","[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]","[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",True,False,True,False,False,True,buying,B09PYB7B6Z
public_0001,calibration,5,buying,Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r"", ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""]","Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th","[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]","[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",True,False,True,False,False,True,buying,B09PYB7B6Z
public_0001,calibration,6,buying,Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r"", ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""]","Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th","[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]","[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",True,False,True,False,False,True,buying,B09PYB7B6Z
public_0001,calibration,7,buying,Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r"", ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""]","Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th","[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]","[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",True,False,True,False,False,True,buying,B09PYB7B6Z
public_0001,calibration,8,buying,Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r"", ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""]","Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th","[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]","[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",True,False,True,False,False,True,buying,B09PYB7B6Z
public_0001,calibration,9,buying,Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r"", ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""]","Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th","[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]","[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",True,False,True,False,False,True,buying,B09PYB7B6Z
public_0001,calibration,10,buying,Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r"", ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""]","Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th","[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]","[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",True,False,True,False,False,True,buying,B09PYB7B6Z
