fixture_id,universe,rank,product_id,title,categories,embedded_features,price,coordinate,component,side
u2_override_s9_final,m0_full_catalogue,1,B09Q8VNLML,Tops for Women Casual Summer Short Sleeve Loose Fit Tee Shirts Dressy Blue L,"[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Tops, Tees & Blouses"", ""Tunics""]","[""65% Rayon, 35% Polyester"", ""进口"", ""Drawstring closure""]",,-0.7207023319707311,1,negative
u2_override_s9_final,m0_full_catalogue,2,B07LB2S44R,Loose Plain Maxi Dresses Women's Short Sleeve Casual Long Dresses with Pockets,"[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Lingerie, Sleep & Lounge"", ""Lingerie"", ""Bras""]","[""Hand Wash Only"", ""tops for women ruffle tops for women women blouses and tops fashion sexy tops for women ribbed tank tops for women bohemian tops for women tunic tank tops for women strapless tops for women going out tops for women yoga tank tops for women tank tops for women plus size lace tank tops for women cute tank tops for women red tank tops for women running tank tops for women sexy tank tops for women work"", ""t shirt women cotton t shirt dresses for women camo t shirt women blue t shirt women long t shirt for women queen t shirt women north face t shirt women gray t shirt women t shirt midi dresses for women v neck white t shirt women long sleeve white t shirt women t shirt women graphic sleeveless t shirt dresses for women t shirt tunics for women women baggy fit short sleeve t shirt brown t shirt women navy""]",,-0.7005179394034506,1,negative
u2_override_s9_final,m0_full_catalogue,3,B07CMTD5WL,Women Summer V Neck Short Sleeve Floral Irregular Hem Asymmetrical Tunic Shirt,"[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Tops, Tees & Blouses"", ""T-Shirts""]","[""Pull On closure"", ""Hang to dry"", ""Material:95% Polyester, 5% Spandex£»Very comfortable and lightweight£¬breathable£»""]",,-0.6965704950696825,1,negative
u2_override_s9_final,m0_full_catalogue,4,B07F6C2FKW,Casual Tshirt Dresses for Women Boho Sundress Floral Tank Sleeveless Swing Dress 2XL White,"[""Clothing, Shoes & Jewelry"", ""Under $30""]","[""Pull On closure""]",,-0.6888012769746247,1,negative
u2_override_s9_final,m0_full_catalogue,5,B089GHN8TN,Summer Graphic Tees Sleeveless Tops Casual Loose Camo Tie Dye Ruffle Tank Tops Shirts for Women,"[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Tops, Tees & Blouses"", ""Tanks & Camis""]","[""Spandex,Rayon"", ""Drawstring closure"", ""Do Not Bleach""]",,-0.682558730625534,1,negative
u2_override_s9_final,m0_full_catalogue,1,B00IJZZWGA,"BRIGHT STAR Low Cut Ankle Socks For Women - 30 Pairs of Athletic Socks For Running, Workout, Sports","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Active"", ""Athletic Socks""]","[""Cotton"", ""Imported"", ""Machine Wash""]",23.99,-0.2894281844605629,1,positive
u2_override_s9_final,m0_full_catalogue,2,B00IK28QG0,BRIGHT STAR Multi Sport Big Girls Low Cut Flat Knit Fashion Socks (10 Pairs) 0.69 a PAIR Size 7-9,"[""Clothing, Shoes & Jewelry"", ""Girls"", ""Clothing"", ""Socks & Tights"", ""Casual & Dress Socks"", ""Liners & Ankle Socks""]","[""97% Polyester, 3% Other Fibers"", ""Imported"", ""Fabric Contents: 97% Polyester 2% Spanndex 1% Elastic""]",,-0.29599926858559394,1,positive
u2_override_s9_final,m0_full_catalogue,3,B008PNGL66,Keds Women's Champion Seasonal Brights Fashion Sneaker,"[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Fashion Sneakers""]","[""100% Cotton"", ""Imported"", ""Rubber sole""]",,-0.3086342428990487,1,positive
u2_override_s9_final,m0_full_catalogue,4,B078JFBYBK,TATYZ Women Bright Color Organic Cotton and Genuine Leather Trapezium Single Handle Summer Tote Bag (Lime green),"[""Clothing, Shoes & Jewelry"", ""Women"", ""Handbags & Wallets"", ""Top-Handle Bags""]","[""This elegant minimalistic design tote bag are made carefully in Thailand from thick and durable 22 Oz 100% stone-washed cotton canvas and 100% genuine leather. No synthetic or PU material used."", ""Wide range of bright juicy colors. Perfect for summer"", ""Magnetic snap fastening on top. Featured front and back outer triangle pockets with magnetic snap button and hidden zip pocket""]",,-0.32611719124888705,1,positive
u2_override_s9_final,m0_full_catalogue,5,B00R8L28CW,Corkys Dance Sneaker Bright Multi (8),"[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Oxfords""]",[],,-0.3284461277083879,1,positive
u2_override_s9_final,m0_full_catalogue,1,B0B7JB5BWB,Women's Funny Letter Tee Top Casual Loose T-Shirt Summer O Neck Shirt T-Shirt Cute Shirts,"[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Tops, Tees & Blouses"", ""T-Shirts""]","[""Cotton Blended& Polyester"", ""Pull On closure"", ""Machine Wash""]",15.99,-0.3174107249789909,2,negative
