sample_id,scenario_type,turn,disclosed_constraint_count,override_applied,agent_query,latest_message,target_asin,evaluation_mode,latest_message_bm25_rank,stateful_bm25_rank,exact_phrase_rank,field_aware_bm25_rank,dense_rank,hybrid_rrf_rank
public_0001,buying,1,1,True,Jewelry Necklaces Material:alloy,I'm looking for Jewelry Necklaces. A key requirement is: Material:alloy.,B09PYB7B6Z,agent_realistic,763,579,1,230,3061,482
public_0001,buying,2,3,True,Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r,"For that, what matters is: Triple Moon Pentagram Symbol; The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r.",B09PYB7B6Z,agent_realistic,1,1,1,1,1,1
public_0001,buying,3,4,True,"Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th","For that, what matters is: ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th.",B09PYB7B6Z,agent_realistic,6,1,1,1,1,1
public_0001,buying,4,4,True,"Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",I don't have an additional preference for other.,B09PYB7B6Z,agent_realistic,765,1,1,1,1,1
public_0001,buying,5,4,True,"Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",I don't have an additional preference for other.,B09PYB7B6Z,agent_realistic,765,1,1,1,1,1
public_0001,buying,6,4,True,"Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",I don't have an additional preference for other.,B09PYB7B6Z,agent_realistic,765,1,1,1,1,1
public_0001,buying,7,4,True,"Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",I don't have an additional preference for other.,B09PYB7B6Z,agent_realistic,765,1,1,1,1,1
public_0001,buying,8,4,True,"Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",I don't have an additional preference for other.,B09PYB7B6Z,agent_realistic,765,1,1,1,1,1
public_0001,buying,9,4,True,"Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",I don't have an additional preference for other.,B09PYB7B6Z,agent_realistic,765,1,1,1,1,1
public_0001,buying,10,4,True,"Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",I don't have an additional preference for other.,B09PYB7B6Z,agent_realistic,765,1,1,1,1,1
public_0002,intent_override,1,0,False,Accessories Belts Buckle closure,I'm looking for Accessories Belts. Buckle closure,B071X54486,agent_realistic,134,135,27,70,44,48
public_0002,intent_override,2,2,False,Accessories Belts Buckle closure leather 100% Leather,"For that, what matters is: leather; 100% Leather.",B071X54486,agent_realistic,310,87,3,53,20,24
public_0002,intent_override,3,2,True,Accessories Belts leather 100% Leather,"Actually, ignore my earlier preference. What I need is: leather.",B071X54486,agent_realistic,1859,51,5,32,15,12
public_0002,intent_override,4,4,True,Accessories Belts leather 100% Leather Imported Buckle closure,"For that, what matters is: Imported; Buckle closure.",B071X54486,agent_realistic,123,69,2,52,7,12
public_0002,intent_override,5,4,True,Accessories Belts leather 100% Leather Imported Buckle closure,I don't have an additional preference for other.,B071X54486,agent_realistic,15512,69,2,52,7,12
