sample_id,scenario_type,split,top10_hit,adaptive_hit,hit_gained,hit_lost,top10_first_hit_turn,adaptive_first_hit_turn,turn_delay,top10_rank,adaptive_rank
public_0001,buying,calibration,True,True,False,False,2,2,0,1,1
public_0002,intent_override,evaluation,False,False,False,False,,,,,
public_0003,intent_override,calibration,False,False,False,False,,,,,
public_0004,intent_override,calibration,True,True,False,False,4,4,0,2,2
public_0005,buying,calibration,True,True,False,False,3,3,0,1,1
public_0006,browsing,evaluation,True,True,False,False,2,2,0,1,1
public_0007,browsing,evaluation,False,False,False,False,,,,,
public_0008,buying,evaluation,True,False,False,True,3,,,9,
public_0009,buying,evaluation,False,False,False,False,,,,,
public_0010,buying,calibration,False,False,False,False,,,,,
public_0011,browsing,evaluation,True,True,False,False,1,1,0,1,1
public_0012,browsing,evaluation,False,False,False,False,,,,,
public_0013,intent_override,calibration,False,False,False,False,,,,,
public_0014,browsing,evaluation,True,True,False,False,2,2,0,1,1
public_0015,browsing,evaluation,True,True,False,False,3,3,0,1,1
public_0016,browsing,evaluation,False,False,False,False,,,,,
public_0017,buying,evaluation,False,False,False,False,,,,,
public_0018,buying,evaluation,True,False,False,True,3,,,4,
public_0019,browsing,evaluation,True,False,False,True,2,,,9,
public_0020,buying,evaluation,True,False,False,True,1,,,10,
public_0021,browsing,calibration,False,False,False,False,,,,,
public_0022,buying,calibration,True,False,False,True,2,,,9,
public_0023,intent_override,evaluation,True,False,False,True,4,,,5,
public_0024,buying,evaluation,True,True,False,False,3,3,0,1,1
public_0025,browsing,calibration,True,False,False,True,3,,,9,
public_0026,buying,calibration,True,False,False,True,2,,,6,
public_0027,buying,evaluation,False,False,False,False,,,,,
public_0028,buying,calibration,False,False,False,False,,,,,
public_0029,buying,evaluation,True,True,False,False,2,2,0,1,1
public_0030,buying,evaluation,False,False,False,False,,,,,
public_0031,buying,evaluation,False,False,False,False,,,,,
public_0032,buying,evaluation,True,True,False,False,1,2,1,6,1
public_0033,browsing,evaluation,True,True,False,False,3,3,0,1,1
public_0034,intent_override,evaluation,True,True,False,False,4,4,0,1,1
public_0035,boundary,calibration,True,True,False,False,1,1,0,3,3
public_0036,browsing,evaluation,True,True,False,False,3,3,0,1,1
public_0037,browsing,evaluation,True,True,False,False,2,3,1,7,1
public_0038,intent_override,evaluation,False,False,False,False,,,,,
public_0039,browsing,calibration,True,True,False,False,1,2,1,4,3
public_0040,browsing,calibration,False,False,False,False,,,,,
public_0041,boundary,evaluation,True,True,False,False,3,3,0,1,1
public_0042,buying,evaluation,True,False,False,True,3,,,8,
public_0043,browsing,evaluation,False,False,False,False,,,,,
public_0044,buying,evaluation,True,True,False,False,1,1,0,1,1
public_0045,buying,evaluation,False,False,False,False,,,,,
public_0046,intent_override,evaluation,True,True,False,False,4,4,0,1,1
public_0047,browsing,evaluation,True,False,False,True,2,,,10,
public_0048,browsing,evaluation,True,True,False,False,3,3,0,1,1
public_0049,browsing,evaluation,True,True,False,False,3,3,0,1,1
public_0050,boundary,evaluation,True,False,False,True,3,,,4,
public_0051,browsing,evaluation,True,True,False,False,2,2,0,1,1
public_0052,intent_override,calibration,False,False,False,False,,,,,
public_0053,buying,calibration,True,True,False,False,1,1,0,3,3
public_0054,buying,calibration,False,False,False,False,,,,,
public_0055,browsing,calibration,True,True,False,False,2,2,0,1,1
public_0056,browsing,evaluation,True,False,False,True,3,,,5,
public_0057,browsing,evaluation,True,True,False,False,3,3,0,1,1
public_0058,buying,evaluation,False,False,False,False,,,,,
public_0059,browsing,evaluation,True,True,False,False,2,2,0,3,3
public_0060,browsing,calibration,False,False,False,False,,,,,
public_0061,buying,calibration,True,True,False,False,2,2,0,2,2
public_0062,browsing,evaluation,True,False,False,True,3,,,4,
public_0063,browsing,evaluation,True,True,False,False,2,2,0,2,2
public_0064,intent_override,evaluation,True,True,False,False,4,4,0,3,3
public_0065,buying,calibration,True,True,False,False,2,2,0,3,3
public_0066,buying,evaluation,False,False,False,False,,,,,
public_0067,buying,evaluation,True,True,False,False,1,1,0,1,1
public_0068,intent_override,evaluation,True,True,False,False,4,4,0,1,1
public_0069,browsing,evaluation,True,True,False,False,1,2,1,8,1
public_0070,browsing,evaluation,True,True,False,False,1,2,1,6,1
public_0071,intent_override,evaluation,False,False,False,False,,,,,
public_0072,intent_override,evaluation,True,True,False,False,3,3,0,2,2
public_0073,browsing,evaluation,True,True,False,False,2,2,0,1,1
public_0074,browsing,calibration,False,False,False,False,,,,,
public_0075,browsing,evaluation,False,False,False,False,,,,,
public_0076,browsing,calibration,False,False,False,False,,,,,
public_0077,browsing,evaluation,True,True,False,False,1,2,1,6,1
public_0078,intent_override,evaluation,True,False,False,True,4,,,5,
public_0079,browsing,evaluation,True,True,False,False,3,3,0,1,1
public_0080,intent_override,evaluation,False,False,False,False,,,,,
public_0081,browsing,calibration,False,False,False,False,,,,,
public_0082,buying,evaluation,True,True,False,False,1,1,0,1,1
public_0083,buying,calibration,False,False,False,False,,,,,
public_0084,intent_override,evaluation,False,False,False,False,,,,,
public_0085,browsing,evaluation,True,True,False,False,1,1,0,3,3
public_0086,browsing,evaluation,True,True,False,False,2,2,0,1,1
public_0087,browsing,calibration,False,False,False,False,,,,,
public_0088,buying,evaluation,True,False,False,True,1,,,10,
public_0089,intent_override,evaluation,False,False,False,False,,,,,
public_0090,buying,evaluation,True,True,False,False,1,1,0,1,1
public_0091,browsing,evaluation,True,True,False,False,2,2,0,1,1
public_0092,browsing,calibration,False,False,False,False,,,,,
public_0093,buying,evaluation,True,False,False,True,2,,,9,
public_0094,buying,calibration,True,True,False,False,3,3,0,1,1
public_0095,buying,evaluation,False,False,False,False,,,,,
public_0096,intent_override,evaluation,False,False,False,False,,,,,
public_0097,buying,evaluation,False,False,False,False,,,,,
public_0098,browsing,calibration,True,True,False,False,2,3,1,5,2
public_0099,browsing,calibration,False,False,False,False,,,,,
public_0100,browsing,evaluation,False,False,False,False,,,,,
public_0101,buying,evaluation,True,False,False,True,1,,,9,
public_0102,browsing,evaluation,True,True,False,False,2,2,0,1,1
public_0103,intent_override,calibration,False,False,False,False,,,,,
public_0104,boundary,evaluation,True,True,False,False,3,3,0,3,3
public_0105,browsing,evaluation,True,True,False,False,3,3,0,1,1
public_0106,buying,evaluation,True,True,False,False,1,1,0,2,2
public_0107,buying,evaluation,True,False,False,True,3,,,9,
public_0108,buying,calibration,True,True,False,False,2,2,0,1,1
public_0109,buying,evaluation,False,False,False,False,,,,,
public_0110,browsing,evaluation,True,False,False,True,3,,,5,
public_0111,buying,evaluation,False,False,False,False,,,,,
public_0112,boundary,evaluation,False,False,False,False,,,,,
public_0113,browsing,evaluation,True,True,False,False,3,3,0,1,1
public_0114,buying,evaluation,True,True,False,False,2,2,0,1,1
public_0115,browsing,calibration,False,False,False,False,,,,,
public_0116,buying,calibration,False,False,False,False,,,,,
public_0117,buying,evaluation,True,True,False,False,2,2,0,1,1
public_0118,buying,calibration,False,False,False,False,,,,,
public_0119,buying,evaluation,True,True,False,False,1,2,1,4,3
public_0120,browsing,calibration,False,False,False,False,,,,,
public_0121,browsing,evaluation,True,True,False,False,3,3,0,1,1
public_0122,browsing,evaluation,True,True,False,False,2,2,0,1,1
public_0123,intent_override,evaluation,True,True,False,False,3,4,1,10,1
public_0124,buying,evaluation,False,False,False,False,,,,,
public_0125,intent_override,calibration,True,False,False,True,4,,,4,
public_0126,browsing,calibration,False,False,False,False,,,,,
public_0127,browsing,evaluation,True,False,False,True,3,,,6,
public_0128,browsing,evaluation,True,True,False,False,2,2,0,1,1
public_0129,buying,evaluation,False,False,False,False,,,,,
public_0130,intent_override,evaluation,False,False,False,False,,,,,
public_0131,boundary,evaluation,True,True,False,False,3,3,0,1,1
public_0132,buying,calibration,False,False,False,False,,,,,
public_0133,buying,evaluation,False,False,False,False,,,,,
public_0134,browsing,calibration,True,True,False,False,2,2,0,1,1
public_0135,buying,evaluation,False,False,False,False,,,,,
public_0136,buying,evaluation,False,False,False,False,,,,,
public_0137,browsing,evaluation,False,False,False,False,,,,,
public_0138,browsing,evaluation,True,False,False,True,3,,,4,
public_0139,browsing,evaluation,True,True,False,False,3,3,0,1,1
public_0140,browsing,evaluation,True,False,False,True,1,,,6,
public_0141,browsing,evaluation,True,True,False,False,2,2,0,1,1
public_0142,intent_override,evaluation,True,True,False,False,4,4,0,1,1
public_0143,buying,evaluation,False,False,False,False,,,,,
public_0144,intent_override,evaluation,False,False,False,False,,,,,
public_0145,buying,evaluation,False,False,False,False,,,,,
public_0146,buying,evaluation,False,False,False,False,,,,,
public_0147,browsing,calibration,True,False,False,True,3,,,6,
public_0148,buying,evaluation,False,False,False,False,,,,,
public_0149,buying,evaluation,True,False,False,True,2,,,10,
public_0150,browsing,evaluation,True,False,False,True,2,,,8,
public_0151,browsing,evaluation,False,False,False,False,,,,,
public_0152,buying,calibration,True,True,False,False,2,2,0,1,1
public_0153,browsing,calibration,False,False,False,False,,,,,
public_0154,buying,calibration,True,True,False,False,3,3,0,1,1
public_0155,buying,calibration,True,False,False,True,2,,,5,
public_0156,buying,evaluation,True,False,False,True,2,,,7,
public_0157,buying,evaluation,True,False,False,True,3,,,6,
public_0158,browsing,evaluation,True,True,False,False,1,2,1,7,3
public_0159,buying,evaluation,False,False,False,False,,,,,
public_0160,buying,calibration,True,True,False,False,1,2,1,8,1
public_0161,buying,evaluation,False,False,False,False,,,,,
public_0162,browsing,evaluation,True,True,False,False,2,2,0,1,1
public_0163,buying,evaluation,True,True,False,False,2,3,1,8,1
public_0164,browsing,evaluation,True,True,False,False,1,1,0,1,1
public_0165,buying,calibration,True,True,False,False,1,2,1,4,2
public_0166,intent_override,calibration,True,True,False,False,4,4,0,1,1
public_0167,browsing,evaluation,False,False,False,False,,,,,
public_0168,buying,evaluation,True,True,False,False,1,1,0,1,1
public_0169,boundary,calibration,True,False,False,True,4,,,4,
public_0170,browsing,calibration,True,True,False,False,3,3,0,1,1
public_0171,buying,evaluation,True,False,False,True,3,,,9,
public_0172,browsing,evaluation,False,False,False,False,,,,,
public_0173,browsing,evaluation,True,True,False,False,3,3,0,1,1
public_0174,buying,evaluation,False,False,False,False,,,,,
