sample_id,method,split,oracle_scenario_type,original_first_hit_turn,exact_original_rank,candidate_same_turn_rank,candidate_capped_rank,capped_rank_improvement
public_0014,exact_only,evaluation,browsing,1,6,6,6,0
public_0020,exact_only,evaluation,buying,2,9,9,9,0
public_0026,exact_only,calibration,buying,2,7,7,7,0
public_0027,exact_only,evaluation,buying,2,6,6,6,0
public_0030,exact_only,evaluation,buying,1,6,6,6,0
public_0033,exact_only,evaluation,browsing,2,9,9,9,0
public_0039,exact_only,calibration,browsing,1,9,9,9,0
public_0043,exact_only,evaluation,browsing,2,7,7,7,0
public_0049,exact_only,evaluation,browsing,1,10,10,10,0
public_0076,exact_only,calibration,browsing,3,8,8,8,0
public_0079,exact_only,evaluation,browsing,1,9,9,9,0
public_0081,exact_only,calibration,browsing,3,10,10,10,0
public_0088,exact_only,evaluation,buying,1,6,6,6,0
public_0096,exact_only,evaluation,intent_override,3,7,7,7,0
public_0110,exact_only,evaluation,browsing,1,9,9,9,0
public_0112,exact_only,evaluation,boundary,3,6,6,6,0
public_0115,exact_only,calibration,browsing,2,6,6,6,0
public_0116,exact_only,calibration,buying,1,10,10,10,0
public_0117,exact_only,evaluation,buying,1,6,6,6,0
public_0120,exact_only,calibration,browsing,3,7,7,7,0
public_0134,exact_only,calibration,browsing,1,7,7,7,0
public_0145,exact_only,evaluation,buying,1,6,6,6,0
public_0149,exact_only,evaluation,buying,1,6,6,6,0
public_0158,exact_only,evaluation,browsing,1,9,9,9,0
public_0161,exact_only,evaluation,buying,3,10,10,10,0
public_0169,exact_only,calibration,boundary,3,8,8,8,0
public_0170,exact_only,calibration,browsing,2,6,6,6,0
public_0172,exact_only,evaluation,browsing,2,10,10,10,0
public_0182,exact_only,evaluation,browsing,1,10,10,10,0
public_0188,exact_only,calibration,buying,1,6,6,6,0
public_0193,exact_only,evaluation,buying,2,8,8,8,0
public_0194,exact_only,evaluation,buying,2,9,9,9,0
public_0195,exact_only,evaluation,browsing,2,6,6,6,0
public_0199,exact_only,evaluation,buying,2,9,9,9,0
public_0014,experiment_07_exact_stateful_bm25_rrf,evaluation,browsing,1,6,5,5,1
public_0020,experiment_07_exact_stateful_bm25_rrf,evaluation,buying,2,9,9,9,0
public_0026,experiment_07_exact_stateful_bm25_rrf,calibration,buying,2,7,6,6,1
public_0027,experiment_07_exact_stateful_bm25_rrf,evaluation,buying,2,6,6,6,0
public_0030,experiment_07_exact_stateful_bm25_rrf,evaluation,buying,1,6,,11,-5
public_0033,experiment_07_exact_stateful_bm25_rrf,evaluation,browsing,2,9,,11,-2
public_0039,experiment_07_exact_stateful_bm25_rrf,calibration,browsing,1,9,,11,-2
public_0043,experiment_07_exact_stateful_bm25_rrf,evaluation,browsing,2,7,1,1,6
public_0049,experiment_07_exact_stateful_bm25_rrf,evaluation,browsing,1,10,,11,-1
public_0076,experiment_07_exact_stateful_bm25_rrf,calibration,browsing,3,8,,11,-3
public_0079,experiment_07_exact_stateful_bm25_rrf,evaluation,browsing,1,9,6,6,3
public_0081,experiment_07_exact_stateful_bm25_rrf,calibration,browsing,3,10,4,4,6
public_0088,experiment_07_exact_stateful_bm25_rrf,evaluation,buying,1,6,5,5,1
public_0096,experiment_07_exact_stateful_bm25_rrf,evaluation,intent_override,3,7,,11,-4
public_0110,experiment_07_exact_stateful_bm25_rrf,evaluation,browsing,1,9,,11,-2
public_0112,experiment_07_exact_stateful_bm25_rrf,evaluation,boundary,3,6,6,6,0
public_0115,experiment_07_exact_stateful_bm25_rrf,calibration,browsing,2,6,,11,-5
public_0116,experiment_07_exact_stateful_bm25_rrf,calibration,buying,1,10,10,10,0
public_0117,experiment_07_exact_stateful_bm25_rrf,evaluation,buying,1,6,6,6,0
public_0120,experiment_07_exact_stateful_bm25_rrf,calibration,browsing,3,7,7,7,0
public_0134,experiment_07_exact_stateful_bm25_rrf,calibration,browsing,1,7,2,2,5
public_0145,experiment_07_exact_stateful_bm25_rrf,evaluation,buying,1,6,,11,-5
public_0149,experiment_07_exact_stateful_bm25_rrf,evaluation,buying,1,6,,11,-5
public_0158,experiment_07_exact_stateful_bm25_rrf,evaluation,browsing,1,9,4,4,5
public_0161,experiment_07_exact_stateful_bm25_rrf,evaluation,buying,3,10,7,7,3
public_0169,experiment_07_exact_stateful_bm25_rrf,calibration,boundary,3,8,1,1,7
public_0170,experiment_07_exact_stateful_bm25_rrf,calibration,browsing,2,6,9,9,-3
public_0172,experiment_07_exact_stateful_bm25_rrf,evaluation,browsing,2,10,2,2,8
public_0182,experiment_07_exact_stateful_bm25_rrf,evaluation,browsing,1,10,4,4,6
public_0188,experiment_07_exact_stateful_bm25_rrf,calibration,buying,1,6,,11,-5
public_0193,experiment_07_exact_stateful_bm25_rrf,evaluation,buying,2,8,3,3,5
public_0194,experiment_07_exact_stateful_bm25_rrf,evaluation,buying,2,9,9,9,0
public_0195,experiment_07_exact_stateful_bm25_rrf,evaluation,browsing,2,6,1,1,5
public_0199,experiment_07_exact_stateful_bm25_rrf,evaluation,buying,2,9,5,5,4
public_0014,exact_stateful_xtr_warp_rrf,evaluation,browsing,1,6,8,8,-2
public_0020,exact_stateful_xtr_warp_rrf,evaluation,buying,2,9,9,9,0
public_0026,exact_stateful_xtr_warp_rrf,calibration,buying,2,7,,11,-4
public_0027,exact_stateful_xtr_warp_rrf,evaluation,buying,2,6,6,6,0
public_0030,exact_stateful_xtr_warp_rrf,evaluation,buying,1,6,1,1,5
public_0033,exact_stateful_xtr_warp_rrf,evaluation,browsing,2,9,3,3,6
public_0039,exact_stateful_xtr_warp_rrf,calibration,browsing,1,9,1,1,8
public_0043,exact_stateful_xtr_warp_rrf,evaluation,browsing,2,7,1,1,6
public_0049,exact_stateful_xtr_warp_rrf,evaluation,browsing,1,10,8,8,2
public_0076,exact_stateful_xtr_warp_rrf,calibration,browsing,3,8,,11,-3
public_0079,exact_stateful_xtr_warp_rrf,evaluation,browsing,1,9,,11,-2
public_0081,exact_stateful_xtr_warp_rrf,calibration,browsing,3,10,10,10,0
public_0088,exact_stateful_xtr_warp_rrf,evaluation,buying,1,6,8,8,-2
public_0096,exact_stateful_xtr_warp_rrf,evaluation,intent_override,3,7,2,2,5
public_0110,exact_stateful_xtr_warp_rrf,evaluation,browsing,1,9,,11,-2
public_0112,exact_stateful_xtr_warp_rrf,evaluation,boundary,3,6,6,6,0
public_0115,exact_stateful_xtr_warp_rrf,calibration,browsing,2,6,7,7,-1
public_0116,exact_stateful_xtr_warp_rrf,calibration,buying,1,10,,11,-1
public_0117,exact_stateful_xtr_warp_rrf,evaluation,buying,1,6,6,6,0
public_0120,exact_stateful_xtr_warp_rrf,calibration,browsing,3,7,7,7,0
public_0134,exact_stateful_xtr_warp_rrf,calibration,browsing,1,7,7,7,0
public_0145,exact_stateful_xtr_warp_rrf,evaluation,buying,1,6,,11,-5
public_0149,exact_stateful_xtr_warp_rrf,evaluation,buying,1,6,2,2,4
public_0158,exact_stateful_xtr_warp_rrf,evaluation,browsing,1,9,10,10,-1
public_0161,exact_stateful_xtr_warp_rrf,evaluation,buying,3,10,6,6,4
public_0169,exact_stateful_xtr_warp_rrf,calibration,boundary,3,8,1,1,7
public_0170,exact_stateful_xtr_warp_rrf,calibration,browsing,2,6,7,7,-1
public_0172,exact_stateful_xtr_warp_rrf,evaluation,browsing,2,10,1,1,9
public_0182,exact_stateful_xtr_warp_rrf,evaluation,browsing,1,10,10,10,0
public_0188,exact_stateful_xtr_warp_rrf,calibration,buying,1,6,2,2,4
public_0193,exact_stateful_xtr_warp_rrf,evaluation,buying,2,8,3,3,5
public_0194,exact_stateful_xtr_warp_rrf,evaluation,buying,2,9,9,9,0
public_0195,exact_stateful_xtr_warp_rrf,evaluation,browsing,2,6,6,6,0
public_0199,exact_stateful_xtr_warp_rrf,evaluation,buying,2,9,6,6,3
