category,occurrences,depths_seen,depth_occurrences_json
"Clothing, Shoes & Jewelry",49990,1,"{""1"":49990}"
Women,29435,"2,3,4,5","{""2"":26406,""3"":1236,""4"":456,""5"":1337}"
Clothing,20523,"3,4","{""3"":19439,""4"":1084}"
Men,12420,"2,3,4,5","{""2"":9901,""3"":490,""4"":414,""5"":1615}"
Shoes,11810,"3,4,6","{""3"":11351,""4"":338,""6"":121}"
Jewelry,5127,3,"{""3"":5127}"
Accessories,4117,"3,4,5,6","{""3"":3323,""4"":240,""5"":116,""6"":438}"
Novelty & More,3376,2,"{""2"":3376}"
Novelty,3208,4,"{""4"":3208}"
T-Shirts,2807,"5,6,7","{""5"":998,""6"":124,""7"":1685}"
"Tops, Tees & Blouses",2461,4,"{""4"":2461}"
Athletic,2323,4,"{""4"":2323}"
Active,2214,4,"{""4"":2214}"
Sandals,2213,"4,5","{""4"":2195,""5"":18}"
Dresses,2133,"3,4,5,6","{""3"":1,""4"":1925,""5"":135,""6"":72}"
Shirts,2079,"3,4,5,6","{""3"":1,""4"":923,""5"":18,""6"":1137}"
Girls,2051,"2,3,4,5","{""2"":1716,""3"":83,""4"":182,""5"":70}"
"Lingerie, Sleep & Lounge",1478,4,"{""4"":1478}"
Boys,1319,"2,3,4,5","{""2"":1101,""3"":54,""4"":92,""5"":72}"
Earrings,1250,"3,4","{""3"":1,""4"":1249}"
Watches,1165,3,"{""3"":1165}"
Hats & Caps,1155,"4,5,7","{""4"":1016,""5"":54,""7"":85}"
Necklaces,1153,4,"{""4"":1153}"
Westlake,1136,2,"{""2"":1136}"
Boot Shop,1131,2,"{""2"":1131}"
Sport Specific Clothing,1114,2,"{""2"":1114}"
Handbags & Wallets,1112,3,"{""3"":1112}"
Casual,1099,5,"{""5"":1099}"
Baby,1065,"2,4","{""2"":1031,""4"":34}"
Wrist Watches,1034,4,"{""4"":1034}"
Boots,1023,"3,4,5,6","{""3"":1,""4"":1009,""5"":12,""6"":1}"
Fashion Sneakers,1017,4,"{""4"":1017}"
Luggage & Travel Gear,976,2,"{""2"":976}"
Running,964,"3,5","{""3"":86,""5"":878}"
Flats,943,"4,5","{""4"":604,""5"":339}"
Costumes & Accessories,937,2,"{""2"":937}"
Bracelets,915,4,"{""4"":915}"
