line_number,parent_asin,title,category_depth,category_path,categories_json
1,B07K34RX5J,"Kandinsky Statement Earrings for Women by Spirit Hoops, Fabric, Lightweight Drop and Dangle Stainless Steel Hoop Earrings for Women Fashion, Artsy",5,"Clothing, Shoes & Jewelry > Women > Jewelry > Earrings > Hoop","[""Clothing, Shoes & Jewelry"", ""Women"", ""Jewelry"", ""Earrings"", ""Hoop""]"
2,B07KCFS4VC,Columbia Men's Thistletown Park Crew,5,"Clothing, Shoes & Jewelry > Men > Clothing > Shirts > T-Shirts","[""Clothing, Shoes & Jewelry"", ""Men"", ""Clothing"", ""Shirts"", ""T-Shirts""]"
3,B08VDM4G8B,1950s Pink Satin Jacket with Neck Scarf Grils Women Danny Halloween Costume Fancy Dress,5,"Clothing, Shoes & Jewelry > Costumes & Accessories > Women > Costumes & Cosplay Apparel > Robes, Capes & Jackets","[""Clothing, Shoes & Jewelry"", ""Costumes & Accessories"", ""Women"", ""Costumes & Cosplay Apparel"", ""Robes, Capes & Jackets""]"
4,B095PZG4SR,Hylaea Athletic Running Socks Cushion Padded Moisture Wicking Low Cut,5,"Clothing, Shoes & Jewelry > Women > Clothing > Active > Athletic Socks","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Active"", ""Athletic Socks""]"
5,B08LDFVQXV,"Nupuyai Natural Raw Green Aventurine Necklace for Women Men, Irregular Rough Healing Crystal Pendant with Adjustable Cord 18-26 Inches",5,"Clothing, Shoes & Jewelry > Women > Jewelry > Necklaces > Pendant Necklaces","[""Clothing, Shoes & Jewelry"", ""Women"", ""Jewelry"", ""Necklaces"", ""Pendant Necklaces""]"
6,B0962JJFML,Revo Sunglasses Forge: Polarized Lens with Bendable Rectangle Wrap Frame,5,"Clothing, Shoes & Jewelry > Men > Accessories > Sunglasses & Eyewear Accessories > Sunglasses","[""Clothing, Shoes & Jewelry"", ""Men"", ""Accessories"", ""Sunglasses & Eyewear Accessories"", ""Sunglasses""]"
7,B09QZSCJ5D,Ocnoant Mens Pullover Hoodies Warm Hooded Sweatshirts Outwear,4,"Clothing, Shoes & Jewelry > Men > Clothing > Fashion Hoodies & Sweatshirts","[""Clothing, Shoes & Jewelry"", ""Men"", ""Clothing"", ""Fashion Hoodies & Sweatshirts""]"
8,B0BG9RPKPP,RAISEVERN Men Women Hoodie 3D Printed Cool Fleece Long Sleeve Pullover Hooded Sweatshirt,6,"Clothing, Shoes & Jewelry > Novelty & More > Clothing > Novelty > Men > Hoodies","[""Clothing, Shoes & Jewelry"", ""Novelty & More"", ""Clothing"", ""Novelty"", ""Men"", ""Hoodies""]"
9,B08X6CZS6R,PRETTYGARDEN Women's Summer Wrap Maxi Dress Casual Boho Floral V Neck Short Sleeve Ruffle Hem Split Beach Long Dresses,4,"Clothing, Shoes & Jewelry > Women > Clothing > Dresses","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Dresses""]"
10,B07QMS8TX8,"Medical Cargo Pants for Men Workwear Originals, Zipper Fly Scrubs for Men 4000",6,"Clothing, Shoes & Jewelry > Men > Uniforms, Work & Safety > Clothing > Medical > Scrub Bottoms","[""Clothing, Shoes & Jewelry"", ""Men"", ""Uniforms, Work & Safety"", ""Clothing"", ""Medical"", ""Scrub Bottoms""]"
11,B0BNMLPZCB,"Women's Latex-Coated Grip Winter Gloves for Cold Weather, Medium (Wells Lamont 554M), Black/Purple",5,"Clothing, Shoes & Jewelry > Women > Accessories > Gloves & Mittens > Cold Weather Gloves","[""Clothing, Shoes & Jewelry"", ""Women"", ""Accessories"", ""Gloves & Mittens"", ""Cold Weather Gloves""]"
12,B075R22Y5X,"Hudson Durable Goods - Professional Grade Chef Apron for Kitchen, BBQ & Grill",5,"Clothing, Shoes & Jewelry > Uniforms, Work & Safety > Clothing > Food Service > Aprons","[""Clothing, Shoes & Jewelry"", ""Uniforms, Work & Safety"", ""Clothing"", ""Food Service"", ""Aprons""]"
13,B07NLJ6WM8,"Spotted Zebra Girls' Fuzzy Cozy Socks, 4 Pairs",6,"Clothing, Shoes & Jewelry > Girls > Clothing > Socks & Tights > Casual & Dress Socks > Liners & Ankle Socks","[""Clothing, Shoes & Jewelry"", ""Girls"", ""Clothing"", ""Socks & Tights"", ""Casual & Dress Socks"", ""Liners & Ankle Socks""]"
14,B07RQSN383,Timberland PRO Men's No-Scratch No Buckle Mechanic Belt,4,"Clothing, Shoes & Jewelry > Men > Accessories > Belts","[""Clothing, Shoes & Jewelry"", ""Men"", ""Accessories"", ""Belts""]"
15,B0BM7477G1,Lee Men's Performance Series Extreme Comfort Relaxed Pant,5,"Clothing, Shoes & Jewelry > Men > Clothing > Pants > Casual","[""Clothing, Shoes & Jewelry"", ""Men"", ""Clothing"", ""Pants"", ""Casual""]"
16,B0BHDTSL6K,"DALEGEM Genuine Yellow Tiger Eye Stone Ring for Men Women,Retro Vintage Quartz Crystal Gemstone Turkish Ring Jewelry Gift for Her Him",4,"Clothing, Shoes & Jewelry > Women > Jewelry > Rings","[""Clothing, Shoes & Jewelry"", ""Women"", ""Jewelry"", ""Rings""]"
17,B0083VPQBQ,Port & Company Mens Long Sleeve Value Denim Shirt SP10 -Ink Blue M,5,"Clothing, Shoes & Jewelry > Men > Clothing > Shirts > Casual Button-Down Shirts","[""Clothing, Shoes & Jewelry"", ""Men"", ""Clothing"", ""Shirts"", ""Casual Button-Down Shirts""]"
18,B08MBM15JB,Evshine Women's Fuzzy Slippers Cross Band Memory Foam House Slippers Open Toe,4,"Clothing, Shoes & Jewelry > Women > Shoes > Slippers","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Slippers""]"
19,B086251Z5P,ENLACHIC Women's Boho Printed Palazzo Side Split Wide Leg Workout Yoga Pants,5,"Clothing, Shoes & Jewelry > Sport Specific Clothing > Yoga > Women > Pants","[""Clothing, Shoes & Jewelry"", ""Sport Specific Clothing"", ""Yoga"", ""Women"", ""Pants""]"
20,B0BZWZSM7D,Steve Madden Men's Dress Casual Every Day Leather Belt,4,"Clothing, Shoes & Jewelry > Men > Accessories > Belts","[""Clothing, Shoes & Jewelry"", ""Men"", ""Accessories"", ""Belts""]"
21,B07GXPPBVB,Hudson Baby Unisex Baby Preemie Sleep and Play,6,"Clothing, Shoes & Jewelry > Baby > Baby Girls > Clothing > Footies & Rompers > Footies","[""Clothing, Shoes & Jewelry"", ""Baby"", ""Baby Girls"", ""Clothing"", ""Footies & Rompers"", ""Footies""]"
22,B08MDRTL62,TradMall Travel Umbrella Windproof with 46/56 Inches Large Canopy 10 Reinforced Fiberglass Ribs Ergonomic Handle Auto Open & Close,4,"Clothing, Shoes & Jewelry > Luggage & Travel Gear > Umbrellas > Folding Umbrellas","[""Clothing, Shoes & Jewelry"", ""Luggage & Travel Gear"", ""Umbrellas"", ""Folding Umbrellas""]"
23,B08SBT4WF1,Cape Robbin Womens Radio,5,"Clothing, Shoes & Jewelry > Boot Shop > Women > Fashion > Combat","[""Clothing, Shoes & Jewelry"", ""Boot Shop"", ""Women"", ""Fashion"", ""Combat""]"
24,B08XBKDH2N,Gemszoo Personalized Twisted 2-7 Name Necklace with Simulated Birthstones Mother Daughter Women Necklaces for Mother's Day Birthday,5,"Clothing, Shoes & Jewelry > Women > Jewelry > Necklaces > Pendant Necklaces","[""Clothing, Shoes & Jewelry"", ""Women"", ""Jewelry"", ""Necklaces"", ""Pendant Necklaces""]"
25,B096HSB13N,4 Pack Cruise Luggage Tag Holder Clear E-Tag Zip Seal Steel Wire Loops for Cruise Thick PVC (6.5X3.5 Inches),5,"Clothing, Shoes & Jewelry > Luggage & Travel Gear > Travel Accessories > Luggage Tags & Handle Wraps > Luggage Tags","[""Clothing, Shoes & Jewelry"", ""Luggage & Travel Gear"", ""Travel Accessories"", ""Luggage Tags & Handle Wraps"", ""Luggage Tags""]"
26,B075SYJ8M2,FITEXTREME MAXHEAT Mens Thermal Underwear Long Johns Set with Fleece Lined,6,"Clothing, Shoes & Jewelry > Men > Clothing > Underwear > Thermal Underwear > Bottoms","[""Clothing, Shoes & Jewelry"", ""Men"", ""Clothing"", ""Underwear"", ""Thermal Underwear"", ""Bottoms""]"
27,B01NBPCYI3,"labato Women’s Leather Loafers Comfortable Slip on Leather Driving Shoes Casual Flat Shoes（10,Brown",4,"Clothing, Shoes & Jewelry > Women > Shoes > Loafers & Slip-Ons","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Loafers & Slip-Ons""]"
28,B088BLB7MN,RUEWEY Women's V-Neck Sleeveless Pajamas Set Lace Cami Set with Short Pants Sleepwear PJ Set Nightwear,6,"Clothing, Shoes & Jewelry > Women > Clothing > Lingerie, Sleep & Lounge > Sleep & Lounge > Sets","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Lingerie, Sleep & Lounge"", ""Sleep & Lounge"", ""Sets""]"
29,B088QF5G58,"Hanes Men's Underwear Briefs Pack, Mid-Rise, Moisture-Wicking, 6-Pack",5,"Clothing, Shoes & Jewelry > Men > Clothing > Underwear > Briefs","[""Clothing, Shoes & Jewelry"", ""Men"", ""Clothing"", ""Underwear"", ""Briefs""]"
30,B01LNRDTQA,Paul Frank Women's Essentials Hooded Footed Bodysuit,6,"Clothing, Shoes & Jewelry > Women > Clothing > Lingerie, Sleep & Lounge > Sleep & Lounge > Sets","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Lingerie, Sleep & Lounge"", ""Sleep & Lounge"", ""Sets""]"
31,B07YGRH855,Nike Women's Track & Field Shoes,5,"Clothing, Shoes & Jewelry > Women > Shoes > Athletic > Running","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Athletic"", ""Running""]"
32,B07H34Z5V6,Athlefit Women's Wedge Sneakers Hidden Heel Platform Wedge Booties Hidden Wedgie Sneakers,4,"Clothing, Shoes & Jewelry > Women > Shoes > Fashion Sneakers","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Fashion Sneakers""]"
33,B08TG8JRDZ,Actloe Womens Summer Tanks Sleeveless Button Up Shirts Henley Tight Low Cut Tops Casual,5,"Clothing, Shoes & Jewelry > Women > Clothing > Tops, Tees & Blouses > Tanks & Camis","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Tops, Tees & Blouses"", ""Tanks & Camis""]"
34,B082FG7LFW,Vetinee Womens Classic Adjustable Straps Pockets Denim Bib Overalls Jeans Pants,5,"Clothing, Shoes & Jewelry > Women > Clothing > Jumpsuits, Rompers & Overalls > Overalls","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Jumpsuits, Rompers & Overalls"", ""Overalls""]"
35,B0B611JGLD,Koinshha Women's Knitted Turtleneck Sweater Long Sleeve Solid Color Side Slit Pullover Ribbed Sweaters,5,"Clothing, Shoes & Jewelry > Women > Clothing > Sweaters > Pullovers","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Sweaters"", ""Pullovers""]"
36,B0933PB1NY,YACUN Women Short Sleeve Midi Dress Square Neck Tie Waist Slit Basic Summer Sheath Solid Bodycon Dresses,4,"Clothing, Shoes & Jewelry > Women > Clothing > Dresses","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Dresses""]"
37,B07FDB7GMZ,adidas Men's Adilette Shower Slide,5,"Clothing, Shoes & Jewelry > Men > Shoes > Athletic > Sport Sandals & Slides","[""Clothing, Shoes & Jewelry"", ""Men"", ""Shoes"", ""Athletic"", ""Sport Sandals & Slides""]"
38,B07G4W83Y8,2E-youth Designer Purses and Handbags for Women Satchel Shoulder Bag Tote Top Handle Bag,4,"Clothing, Shoes & Jewelry > Women > Handbags & Wallets > Satchels","[""Clothing, Shoes & Jewelry"", ""Women"", ""Handbags & Wallets"", ""Satchels""]"
39,B08V8CXHKT,VtuAOL Women's Cargo Shorts Elastic Waist Comfy Cotton Loose Fit Shorts,5,"Clothing, Shoes & Jewelry > Women > Clothing > Shorts > Casual","[""Clothing, Shoes & Jewelry"", ""Women"", ""Clothing"", ""Shorts"", ""Casual""]"
40,B0B5ZP4V7D,VIUJUH 2 Pair Shoe Protector Toebox Crease Guards for Men Women,4,"Clothing, Shoes & Jewelry > Shoe, Jewelry & Watch Accessories > Shoe Care & Accessories > Shoe & Boot Trees","[""Clothing, Shoes & Jewelry"", ""Shoe, Jewelry & Watch Accessories"", ""Shoe Care & Accessories"", ""Shoe & Boot Trees""]"
41,B07KVRGVLW,"Golden Fox 6"" Boondocker Service Boot Pro",5,"Clothing, Shoes & Jewelry > Boot Shop > Men > Outdoor & Work > Work & Safety","[""Clothing, Shoes & Jewelry"", ""Boot Shop"", ""Men"", ""Outdoor & Work"", ""Work & Safety""]"
42,B08ZJWTCDR,"Champion Men's Joggers, Everyday Joggers, Lightweight, Comfortable Joggers for Men, 31""",6,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Pants > Sweatpants","[""Clothing, Shoes & Jewelry"", ""Men"", ""Clothing"", ""Active"", ""Active Pants"", ""Sweatpants""]"
43,B0BXRP67F5,Lauren by Ralph Lauren Women's Brynn Driver Mule,4,"Clothing, Shoes & Jewelry > Women > Shoes > Mules & Clogs","[""Clothing, Shoes & Jewelry"", ""Women"", ""Shoes"", ""Mules & Clogs""]"
