method,split,rank,session_count,proportion
exact_only,full,1,103,0.515
exact_only,full,2,19,0.095
exact_only,full,3,7,0.035
exact_only,full,4,12,0.06
exact_only,full,5,11,0.055
exact_only,full,6,12,0.06
exact_only,full,7,5,0.025
exact_only,full,8,3,0.015
exact_only,full,9,8,0.04
exact_only,full,10,6,0.03
exact_only,full,miss,14,0.07
exact_only,calibration,1,32,0.533333
exact_only,calibration,2,5,0.083333
exact_only,calibration,3,1,0.016667
exact_only,calibration,4,2,0.033333
exact_only,calibration,5,2,0.033333
exact_only,calibration,6,3,0.05
exact_only,calibration,7,3,0.05
exact_only,calibration,8,2,0.033333
exact_only,calibration,9,1,0.016667
exact_only,calibration,10,2,0.033333
exact_only,calibration,miss,7,0.116667
exact_only,evaluation,1,71,0.507143
exact_only,evaluation,2,14,0.1
exact_only,evaluation,3,6,0.042857
exact_only,evaluation,4,10,0.071429
exact_only,evaluation,5,9,0.064286
exact_only,evaluation,6,9,0.064286
exact_only,evaluation,7,2,0.014286
exact_only,evaluation,8,1,0.007143
exact_only,evaluation,9,7,0.05
exact_only,evaluation,10,4,0.028571
exact_only,evaluation,miss,7,0.05
exact_stateful_bm25_rrf,full,1,107,0.535
exact_stateful_bm25_rrf,full,2,21,0.105
exact_stateful_bm25_rrf,full,3,15,0.075
exact_stateful_bm25_rrf,full,4,6,0.03
exact_stateful_bm25_rrf,full,5,13,0.065
exact_stateful_bm25_rrf,full,6,7,0.035
exact_stateful_bm25_rrf,full,7,5,0.025
exact_stateful_bm25_rrf,full,8,2,0.01
exact_stateful_bm25_rrf,full,9,6,0.03
exact_stateful_bm25_rrf,full,10,8,0.04
exact_stateful_bm25_rrf,full,miss,10,0.05
exact_stateful_bm25_rrf,calibration,1,33,0.55
exact_stateful_bm25_rrf,calibration,2,7,0.116667
exact_stateful_bm25_rrf,calibration,3,4,0.066667
exact_stateful_bm25_rrf,calibration,4,1,0.016667
exact_stateful_bm25_rrf,calibration,5,3,0.05
exact_stateful_bm25_rrf,calibration,6,1,0.016667
exact_stateful_bm25_rrf,calibration,7,2,0.033333
exact_stateful_bm25_rrf,calibration,8,0,0.0
exact_stateful_bm25_rrf,calibration,9,1,0.016667
exact_stateful_bm25_rrf,calibration,10,3,0.05
exact_stateful_bm25_rrf,calibration,miss,5,0.083333
exact_stateful_bm25_rrf,evaluation,1,74,0.528571
exact_stateful_bm25_rrf,evaluation,2,14,0.1
exact_stateful_bm25_rrf,evaluation,3,11,0.078571
exact_stateful_bm25_rrf,evaluation,4,5,0.035714
exact_stateful_bm25_rrf,evaluation,5,10,0.071429
exact_stateful_bm25_rrf,evaluation,6,6,0.042857
exact_stateful_bm25_rrf,evaluation,7,3,0.021429
exact_stateful_bm25_rrf,evaluation,8,2,0.014286
exact_stateful_bm25_rrf,evaluation,9,5,0.035714
exact_stateful_bm25_rrf,evaluation,10,5,0.035714
exact_stateful_bm25_rrf,evaluation,miss,5,0.035714
exact_field_aware_bm25_rrf,full,1,104,0.52
exact_field_aware_bm25_rrf,full,2,21,0.105
exact_field_aware_bm25_rrf,full,3,14,0.07
exact_field_aware_bm25_rrf,full,4,7,0.035
exact_field_aware_bm25_rrf,full,5,14,0.07
exact_field_aware_bm25_rrf,full,6,6,0.03
exact_field_aware_bm25_rrf,full,7,8,0.04
exact_field_aware_bm25_rrf,full,8,3,0.015
exact_field_aware_bm25_rrf,full,9,2,0.01
exact_field_aware_bm25_rrf,full,10,5,0.025
exact_field_aware_bm25_rrf,full,miss,16,0.08
exact_field_aware_bm25_rrf,calibration,1,32,0.533333
