sample_id,split,oracle_scenario_type,turn,retrieval_category,active_evidence,agent_query,fallback_activated,fallback_reasons,exact_all_phrases_candidate_count,exact_highest_match_count,exact_highest_tier_candidate_count,oracle_target_asin,exact_only_top_10,diagnostic_exact_only_target_rank,exact_stateful_bm25_rrf_top_10,diagnostic_exact_stateful_bm25_rrf_target_rank,exact_field_aware_bm25_rrf_top_10,diagnostic_exact_field_aware_bm25_rrf_target_rank,exact_dense_rrf_top_10,diagnostic_exact_dense_rrf_target_rank,exact_generic_field_dense_rrf_top_10,diagnostic_exact_generic_field_dense_rrf_target_rank
public_0001,calibration,buying,1,Jewelry Necklaces,"[""Material:alloy""]",Jewelry Necklaces Material:alloy,False,[],9,2,9,B09PYB7B6Z,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B075KXNBNF"", ""B0140NWUGE"", ""B017NHP88G"", ""B077J2Y5FB"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B075KXNBNF"", ""B0140NWUGE"", ""B017NHP88G"", ""B077J2Y5FB"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B075KXNBNF"", ""B0140NWUGE"", ""B017NHP88G"", ""B077J2Y5FB"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B075KXNBNF"", ""B0140NWUGE"", ""B017NHP88G"", ""B077J2Y5FB"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B075KXNBNF"", ""B0140NWUGE"", ""B017NHP88G"", ""B077J2Y5FB"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1
public_0001,calibration,buying,2,Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r""]",Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r,False,[],1,4,1,B09PYB7B6Z,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B075KXNBNF"", ""B0140NWUGE"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B075KXNBNF"", ""B0140NWUGE"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B075KXNBNF"", ""B0140NWUGE"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B075KXNBNF"", ""B0140NWUGE"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B075KXNBNF"", ""B0140NWUGE"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1
public_0001,calibration,buying,3,Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r"", ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""]","Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",False,[],1,5,1,B09PYB7B6Z,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1
public_0001,calibration,buying,4,Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r"", ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""]","Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",False,[],1,5,1,B09PYB7B6Z,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1
public_0001,calibration,buying,5,Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r"", ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""]","Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",False,[],1,5,1,B09PYB7B6Z,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1
public_0001,calibration,buying,6,Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r"", ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""]","Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",False,[],1,5,1,B09PYB7B6Z,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1
public_0001,calibration,buying,7,Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r"", ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""]","Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",False,[],1,5,1,B09PYB7B6Z,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1
public_0001,calibration,buying,8,Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r"", ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""]","Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",False,[],1,5,1,B09PYB7B6Z,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1
public_0001,calibration,buying,9,Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r"", ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""]","Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",False,[],1,5,1,B09PYB7B6Z,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1
public_0001,calibration,buying,10,Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r"", ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""]","Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",False,[],1,5,1,B09PYB7B6Z,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1
