sample_id,split,oracle_scenario_type,turn,evaluator_message,message_history,retrieval_category,active_evidence,agent_query,system_ask_attribute,override_applied,fallback_activated,fallback_reasons,exact_all_phrases_candidate_count,exact_highest_match_count,exact_highest_tier_candidate_count,xtr_warp_component_top_10,xtr_warp_component_top_10_scores,oracle_target_asin,exact_only_top_10,diagnostic_exact_only_target_rank,experiment_07_exact_stateful_bm25_rrf_top_10,diagnostic_experiment_07_exact_stateful_bm25_rrf_target_rank,exact_stateful_xtr_warp_rrf_top_10,diagnostic_exact_stateful_xtr_warp_rrf_target_rank
public_0001,calibration,buying,1,I'm looking for Jewelry Necklaces. A key requirement is: Material:alloy.,"[""I'm looking for Jewelry Necklaces. A key requirement is: Material:alloy.""]",Jewelry Necklaces,"[""Material:alloy""]",Jewelry Necklaces Material:alloy,other,True,False,[],9,2,9,"[""B017NHP88G"", ""B07CVVF3G2"", ""B072PTLN1L"", ""B07RGJDCFX"", ""B07CZ2TPVB"", ""B077J2Y5FB"", ""B07DFG6WG7"", ""B0140NWUGE"", ""B09PYB7B6Z"", ""B07ZFM77HB""]","[8.040313720703125, 8.035972595214844, 8.03004264831543, 8.005426406860352, 7.992897033691406, 7.989524841308594, 7.953491687774658, 7.931273937225342, 7.863444805145264, 7.816802501678467]",B09PYB7B6Z,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B075KXNBNF"", ""B0140NWUGE"", ""B017NHP88G"", ""B077J2Y5FB"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B075KXNBNF"", ""B0140NWUGE"", ""B017NHP88G"", ""B077J2Y5FB"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B075KXNBNF"", ""B0140NWUGE"", ""B017NHP88G"", ""B077J2Y5FB"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1
public_0001,calibration,buying,2,"For that, what matters is: Triple Moon Pentagram Symbol; The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r.","[""I'm looking for Jewelry Necklaces. A key requirement is: Material:alloy."", ""For that, what matters is: Triple Moon Pentagram Symbol; The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r.""]",Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r""]",Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r,other,True,False,[],1,4,1,"[""B09PYB7B6Z"", ""B08F4VQ8JC"", ""B0817Y931T"", ""B08P7G15VB"", ""B0762CZJJP"", ""B09JWC1FB1"", ""B08SMH8SXQ"", ""B07NN77QT7"", ""B0BG21X73H"", ""B0BT7KXFMM""]","[29.372852325439453, 25.104780197143555, 25.064910888671875, 24.91352081298828, 24.73764419555664, 24.608642578125, 24.593509674072266, 24.584896087646484, 24.48408317565918, 24.47357940673828]",B09PYB7B6Z,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B075KXNBNF"", ""B0140NWUGE"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B075KXNBNF"", ""B0140NWUGE"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B075KXNBNF"", ""B0140NWUGE"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1
public_0001,calibration,buying,3,"For that, what matters is: ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th.","[""I'm looking for Jewelry Necklaces. A key requirement is: Material:alloy."", ""For that, what matters is: Triple Moon Pentagram Symbol; The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r."", ""For that, what matters is: \u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th.""]",Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r"", ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""]","Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",other,True,False,[],1,5,1,"[""B09PYB7B6Z"", ""B08F4VQ8JC"", ""B0817Y931T"", ""B08P7G15VB"", ""B0762CZJJP"", ""B09JWC1FB1"", ""B08SMH8SXQ"", ""B07NN77QT7"", ""B0BG21X73H"", ""B0BT7KXFMM""]","[29.372852325439453, 25.104780197143555, 25.064910888671875, 24.91352081298828, 24.73764419555664, 24.608642578125, 24.593509674072266, 24.584896087646484, 24.48408317565918, 24.47357940673828]",B09PYB7B6Z,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1
public_0001,calibration,buying,4,I don't have an additional preference for other.,"[""I'm looking for Jewelry Necklaces. A key requirement is: Material:alloy."", ""For that, what matters is: Triple Moon Pentagram Symbol; The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r."", ""For that, what matters is: \u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th."", ""I don't have an additional preference for other.""]",Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r"", ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""]","Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",other,True,False,[],1,5,1,"[""B09PYB7B6Z"", ""B08F4VQ8JC"", ""B0817Y931T"", ""B08P7G15VB"", ""B0762CZJJP"", ""B09JWC1FB1"", ""B08SMH8SXQ"", ""B07NN77QT7"", ""B0BG21X73H"", ""B0BT7KXFMM""]","[29.372852325439453, 25.104780197143555, 25.064910888671875, 24.91352081298828, 24.73764419555664, 24.608642578125, 24.593509674072266, 24.584896087646484, 24.48408317565918, 24.47357940673828]",B09PYB7B6Z,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1
public_0001,calibration,buying,5,I don't have an additional preference for other.,"[""I'm looking for Jewelry Necklaces. A key requirement is: Material:alloy."", ""For that, what matters is: Triple Moon Pentagram Symbol; The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r."", ""For that, what matters is: \u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other.""]",Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r"", ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""]","Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",other,True,False,[],1,5,1,"[""B09PYB7B6Z"", ""B08F4VQ8JC"", ""B0817Y931T"", ""B08P7G15VB"", ""B0762CZJJP"", ""B09JWC1FB1"", ""B08SMH8SXQ"", ""B07NN77QT7"", ""B0BG21X73H"", ""B0BT7KXFMM""]","[29.372852325439453, 25.104780197143555, 25.064910888671875, 24.91352081298828, 24.73764419555664, 24.608642578125, 24.593509674072266, 24.584896087646484, 24.48408317565918, 24.47357940673828]",B09PYB7B6Z,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1
public_0001,calibration,buying,6,I don't have an additional preference for other.,"[""I'm looking for Jewelry Necklaces. A key requirement is: Material:alloy."", ""For that, what matters is: Triple Moon Pentagram Symbol; The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r."", ""For that, what matters is: \u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other.""]",Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r"", ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""]","Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",other,True,False,[],1,5,1,"[""B09PYB7B6Z"", ""B08F4VQ8JC"", ""B0817Y931T"", ""B08P7G15VB"", ""B0762CZJJP"", ""B09JWC1FB1"", ""B08SMH8SXQ"", ""B07NN77QT7"", ""B0BG21X73H"", ""B0BT7KXFMM""]","[29.372852325439453, 25.104780197143555, 25.064910888671875, 24.91352081298828, 24.73764419555664, 24.608642578125, 24.593509674072266, 24.584896087646484, 24.48408317565918, 24.47357940673828]",B09PYB7B6Z,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1
public_0001,calibration,buying,7,I don't have an additional preference for other.,"[""I'm looking for Jewelry Necklaces. A key requirement is: Material:alloy."", ""For that, what matters is: Triple Moon Pentagram Symbol; The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r."", ""For that, what matters is: \u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other.""]",Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r"", ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""]","Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",other,True,False,[],1,5,1,"[""B09PYB7B6Z"", ""B08F4VQ8JC"", ""B0817Y931T"", ""B08P7G15VB"", ""B0762CZJJP"", ""B09JWC1FB1"", ""B08SMH8SXQ"", ""B07NN77QT7"", ""B0BG21X73H"", ""B0BT7KXFMM""]","[29.372852325439453, 25.104780197143555, 25.064910888671875, 24.91352081298828, 24.73764419555664, 24.608642578125, 24.593509674072266, 24.584896087646484, 24.48408317565918, 24.47357940673828]",B09PYB7B6Z,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1
public_0001,calibration,buying,8,I don't have an additional preference for other.,"[""I'm looking for Jewelry Necklaces. A key requirement is: Material:alloy."", ""For that, what matters is: Triple Moon Pentagram Symbol; The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r."", ""For that, what matters is: \u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other.""]",Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r"", ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""]","Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",other,True,False,[],1,5,1,"[""B09PYB7B6Z"", ""B08F4VQ8JC"", ""B0817Y931T"", ""B08P7G15VB"", ""B0762CZJJP"", ""B09JWC1FB1"", ""B08SMH8SXQ"", ""B07NN77QT7"", ""B0BG21X73H"", ""B0BT7KXFMM""]","[29.372852325439453, 25.104780197143555, 25.064910888671875, 24.91352081298828, 24.73764419555664, 24.608642578125, 24.593509674072266, 24.584896087646484, 24.48408317565918, 24.47357940673828]",B09PYB7B6Z,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1
public_0001,calibration,buying,9,I don't have an additional preference for other.,"[""I'm looking for Jewelry Necklaces. A key requirement is: Material:alloy."", ""For that, what matters is: Triple Moon Pentagram Symbol; The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r."", ""For that, what matters is: \u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other.""]",Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r"", ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""]","Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",other,True,False,[],1,5,1,"[""B09PYB7B6Z"", ""B08F4VQ8JC"", ""B0817Y931T"", ""B08P7G15VB"", ""B0762CZJJP"", ""B09JWC1FB1"", ""B08SMH8SXQ"", ""B07NN77QT7"", ""B0BG21X73H"", ""B0BT7KXFMM""]","[29.372852325439453, 25.104780197143555, 25.064910888671875, 24.91352081298828, 24.73764419555664, 24.608642578125, 24.593509674072266, 24.584896087646484, 24.48408317565918, 24.47357940673828]",B09PYB7B6Z,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1
public_0001,calibration,buying,10,I don't have an additional preference for other.,"[""I'm looking for Jewelry Necklaces. A key requirement is: Material:alloy."", ""For that, what matters is: Triple Moon Pentagram Symbol; The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r."", ""For that, what matters is: \u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other.""]",Jewelry Necklaces,"[""Material:alloy"", ""Triple Moon Pentagram Symbol"", ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r"", ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""]","Jewelry Necklaces Material:alloy Triple Moon Pentagram Symbol The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r ♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",other,True,False,[],1,5,1,"[""B09PYB7B6Z"", ""B08F4VQ8JC"", ""B0817Y931T"", ""B08P7G15VB"", ""B0762CZJJP"", ""B09JWC1FB1"", ""B08SMH8SXQ"", ""B07NN77QT7"", ""B0BG21X73H"", ""B0BT7KXFMM""]","[29.372852325439453, 25.104780197143555, 25.064910888671875, 24.91352081298828, 24.73764419555664, 24.608642578125, 24.593509674072266, 24.584896087646484, 24.48408317565918, 24.47357940673828]",B09PYB7B6Z,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1,"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",1
